,urls
0,https://medium.com/the-basketball-university-blog/how-the-brooklyn-nets-rebounded-from-the-worst-trade-in-nba-history-and-are-now-title-contenders-f1d3290fcb45?source=topic_page---------683------------------1
1,https://medium.com/swlh/do-long-flights-affect-professional-golfers-1995699d5611?source=topic_page---------684------------------1
2,https://medium.com/@thomas_87991/two-days-in-a-gorgeous-hellscape-the-u-s-open-at-pebble-beach-d57f5098f263?source=topic_page---------685------------------1
3,https://medium.com/sportsraid/nba-free-agency-10-biggest-takeaways-summer-2019-kawhi-durant-kyrie-nets-lakers-76ers-warriors-1cff4110abef?source=topic_page---------686------------------1
4,https://medium.com/unpluggd-mag/uswnt-article-6c1bda985412?source=topic_page---------687------------------1
5,https://medium.com/@austinfacer/jazz-are-loaded-after-huge-start-to-free-agency-expect-big-things-fc4cd9f08825?source=topic_page---------688------------------1
6,https://medium.com/ben-starks-stats/position-less-basketball-e40b5df1e837?source=topic_page---------689------------------1
7,https://medium.com/@mickey.duzyj/a-patriots-guide-to-the-hot-dog-eating-contest-b9a103698544?source=topic_page---------690------------------1
8,https://towardsdatascience.com/predicting-nba-rookie-stats-with-machine-learning-28621e49b8a4?source=topic_page---------691------------------1
9,https://medium.com/the-sports-niche/cleaning-out-the-cheats-how-the-international-swimming-league-is-striving-for-a-drug-free-sport-f3d8eca91b46?source=topic_page---------692------------------1
10,https://medium.com/the-intermission/the-nba-awards-revisited-making-cases-for-the-other-guys-2804aa888876?source=topic_page---------693------------------1
11,https://medium.com/@neilhudson/hyundai-says-it-could-withdraw-from-the-2020-world-touring-car-cup-5e46c0a26add?source=topic_page---------694------------------1
12,https://medium.com/runners-life/why-you-should-always-pack-running-shoes-c895e4c35fe8?source=topic_page---------695------------------1
13,https://medium.com/jaxshrimp/shrimp-central-jumbo-shrimp-vs-wahoos-june-23-2019-86f67383779f?source=topic_page---------696------------------1
14,https://medium.com/@SixthTone/the-father-teaching-his-kids-to-pull-no-punches-f7e701d4b93e?source=topic_page---------697------------------1
15,https://heated.medium.com/for-peak-performance-swap-pizza-for-plantains-d72386b41e3a?source=topic_page---------698------------------1
16,https://medium.com/top-level-sports/should-wimbledon-change-their-seeding-formula-938cf5ce99ea?source=topic_page---------699------------------1
17,https://towardsdatascience.com/money-makes-the-world-go-round-and-thus-also-the-soccer-847bb5350535?source=topic_page---------700------------------1
18,https://medium.com/sportsraid/nba-franchise-hope-rankings-june-2019-lakers-warriors-bucks-76ers-raptors-free-agency-kawhi-durant-207e8d2f5b47?source=topic_page---------701------------------1
19,https://medium.com/6-03/the-bruins-should-trade-torey-krug-ec0e54c026de?source=topic_page---------702------------------1
20,https://medium.com/@nicolasmorles/why-the-miami-heat-are-stuck-in-basketball-purgatory-5042ec29c23a?source=topic_page---------703------------------1
21,https://medium.com/@mamadou.tall2415/the-biggest-winners-of-the-2019-nba-draft-7802ad68ed5f?source=topic_page---------704------------------1
22,https://medium.com/top-level-sports/giannis-antetokounmpo-defied-the-odds-by-becoming-the-nbas-most-valuable-player-9601f864ab38?source=topic_page---------705------------------1
23,https://medium.com/swlh/a-statistical-analysis-of-the-nba-draft-767999aaaf6c?source=topic_page---------706------------------1
24,https://medium.com/@dhinckley/megan-rapinoe-and-the-women-donald-trump-wont-touch-c60e028f670d?source=topic_page---------707------------------1
25,https://medium.com/@vsfranklin/3-reasons-why-everybody-should-be-watching-the-womens-world-cup-right-now-eb52fc09a612?source=topic_page---------708------------------1
26,https://medium.com/@lucyzhao_77576/homosexuality-and-the-nba-f1e7e64e7130?source=topic_page---------709------------------1
27,https://medium.com/@sean.holland20/nba-salaries-2018-a-hedonic-pricing-model-for-the-2018-2019-nba-season-ef10ad9e4c73?source=topic_page---------710------------------1
28,https://medium.com/@ebroberts24/on-being-a-fan-of-the-u-s-womens-national-team-in-2019-b150f8207508?source=topic_page---------711------------------1
29,https://medium.com/the-sports-niche/2019-nba-free-agency-where-will-they-go-eastern-conference-edition-b3937fa71dd7?source=topic_page---------712------------------1
30,https://medium.com/@ravi_gopalan/is-slinga-malinga-the-best-ever-bowler-in-the-ipl-11f4fba63403?source=topic_page---------713------------------1
31,https://towardsdatascience.com/rating-sports-teams-maximizing-a-generic-system-772144574a07?source=topic_page---------714------------------1
32,https://medium.com/@katlucas_65540/the-2019-fifa-womens-world-cup-is-in-danger-of-going-down-in-history-as-a-missed-opportunity-59809583746d?source=topic_page---------715------------------1
33,https://medium.com/university-of-florida-college-of-journalism-and/smart-phones-have-significant-impact-on-sports-fans-behavior-ffb877041f91?source=topic_page---------716------------------1
34,https://medium.com/outside-the-pocket/knock-on-wood-exploring-the-effect-of-superstitions-in-sports-88df7c1bd603?source=topic_page---------717------------------1
35,https://medium.com/common-goal/100-members-34-countries-1-common-goal-66a4199490b6?source=topic_page---------718------------------1
36,https://medium.com/@WhiteFeather9/psychic-baseball-d62c3337e1eb?source=topic_page---------719------------------1
37,https://medium.com/postgame/matthijs-de-ligt-the-most-sought-after-defender-in-world-football-cad31d3653b6?source=topic_page---------720------------------1
38,https://medium.com/@SunilSharmaUK/billy-beanes-revolutionary-use-of-statistical-analysis-b24b648e63d9?source=topic_page---------721------------------1
39,https://medium.com/1-one-infinity/kyle-lowry-is-the-paragon-of-toughness-6ab903fca7ee?source=topic_page---------722------------------1
40,https://medium.com/the-frog/why-guppy-only-got-one-cap-d65376d37090?source=topic_page---------723------------------1
41,https://medium.com/the-sports-niche/how-a-piece-of-wood-and-a-golf-ball-changed-a-boys-life-85aae643ebe3?source=topic_page---------724------------------1
42,https://medium.com/@akamara/old-school-7fd36790d749?source=topic_page---------725------------------1
43,https://medium.com/sportsraid/official-2019-nba-awards-basketball-mvp-roy-dpoy-6moy-coach-giannis-antetokounmpo-james-harden-f9dc3a9f11d7?source=topic_page---------726------------------1
44,https://medium.com/@richardmedugno/former-nba-player-jason-collins-asks-allies-of-lgbtq-community-to-use-their-voices-and-be-visible-fa08c12ed05c?source=topic_page---------727------------------1
45,https://medium.com/@kristiyan.bonev/champions-league-final-2019-the-trio-that-won-it-for-liverpool-a75b0cca8a52?source=topic_page---------728------------------1
46,https://medium.com/@LakerTom/klutch-sports-powers-lakers-draft-f8d403df39?source=topic_page---------729------------------1
47,https://medium.com/@bjohnsonNBA/a-brief-history-of-miami-heat-centers-was-hassan-whiteside-doomed-to-fail-517dd51effbf?source=topic_page---------730------------------1
48,https://medium.com/@clhmyron/nfl-films-would-be-called-porn-for-men-if-porn-for-men-weren-t-already-a-thing-17eaf62703a0?source=topic_page---------731------------------1
49,https://medium.com/the-spax/adjusted-passer-rating-top-ten-quarterbacks-of-all-time-3edc060f811?source=topic_page---------732------------------1
50,https://medium.com/@MatthewJKoehler/its-just-a-hat-man-6879a4cfda42?source=topic_page---------733------------------1
51,https://elemental.medium.com/would-you-take-a-poop-based-supplement-to-enhance-athletic-performance-f1299d9d5321?source=topic_page---------734------------------1
52,https://medium.com/the-sports-niche/why-do-you-have-a-problem-when-women-athletes-celebrate-cf20f89d12a0?source=topic_page---------735------------------1
53,https://medium.com/@aliciapovey96/lionesses-patience-rewarded-with-win-over-argentina-249e8cfe476?source=topic_page---------736------------------1
54,https://medium.com/better-programming/predicting-nba-player-salary-with-data-science-c5702caa3f2e?source=topic_page---------737------------------1
55,https://medium.com/@kitiara.pascoe/have-the-courage-to-suck-at-something-ad1e5f14a132?source=topic_page---------738------------------1
56,https://medium.com/@gedes/the-great-popcorn-machine-fire-of-74-aaa08d3f14e7?source=topic_page---------739------------------1
57,https://medium.com/better-marketing/daily-fantasy-sports-its-not-luck-2f3ab55894e5?source=topic_page---------740------------------1
58,https://medium.com/postgame/south-africa-are-underdogs-for-this-world-cup-and-they-love-it-3a73169b6992?source=topic_page---------741------------------1
59,https://medium.com/postgame/bangladeshs-rise-to-competitiveness-explained-90fe6e568cbf?source=topic_page---------742------------------1
60,https://medium.com/@AaronMayorgaNYC/after-bronx-exile-chris-carter-re-emerges-en-el-norte-d05c2bdad807?source=topic_page---------743------------------1
61,https://medium.com/@aazetino/the-closer-the-raptors-got-to-winning-the-less-it-mattered-58cf87bf866f?source=topic_page---------744------------------1
62,https://medium.com/experience-magazine/cornhole-yes-cornhole-is-going-pro-36c2a564cbe1?source=topic_page---------745------------------1
63,https://medium.com/@nolancattell/nhl-free-agency-contract-grades-kevin-hayes-c716829680f9?source=topic_page---------746------------------1
64,https://zora.medium.com/what-is-yoga-without-the-namaste-a45f021e6700?source=topic_page---------747------------------1
65,https://medium.com/think-clearly/what-team-usas-stunning-win-over-thailand-tells-us-about-the-state-of-the-women-s-game-c9072808ad1a?source=topic_page---------748------------------1
66,https://medium.com/danny-does-it/the-first-female-president-has-a-mean-superkick-42ae3da5dd51?source=topic_page---------749------------------1
67,https://medium.com/the-intermission/the-arrival-of-jordan-binnington-9eb86df2d2a7?source=topic_page---------750------------------1
68,https://medium.com/@danielakriston/6-things-the-nfls-focus-on-fan-engagement-can-teach-small-business-77c5679c879a?source=topic_page---------751------------------1
69,https://medium.com/arena-culture/roberto-durans-legend-and-humanity-reach-new-heights-in-i-am-duran-173f4993505a?source=topic_page---------752------------------1
70,https://medium.com/sportsraid/2019-nba-mock-draft-final-edition-zion-morant-barrett-culver-big-board-rankings-basketball-predictions-d2aa625382b2?source=topic_page---------753------------------1
71,https://dodgers.mlblogs.com/five-years-later-a-different-kershaw-still-shuts-down-the-opposition-b6502b9cd883?source=topic_page---------754------------------1
72,https://medium.com/@redskylight88/figure-skating-has-a-voice-but-is-it-the-right-one-4322531d3622?source=topic_page---------755------------------1
73,https://medium.com/j-king-s-labratory-project/a-roster-construction-debate-fielding-vs-power-outfielders-662e6aa877ff?source=topic_page---------756------------------1
74,https://medium.com/@TerenceCGannon/the-tao-of-kawhi-leonard-28280d0d132d?source=topic_page---------757------------------1
75,https://medium.com/sapiens-org/genetic-factors-may-help-explain-athletic-sudden-death-b8effc17fc7b?source=topic_page---------758------------------1
76,https://medium.com/the-intermission/luke-walton-will-make-the-sacramento-kings-great-again-c85fd9916df5?source=topic_page---------759------------------1
77,https://medium.com/the-power-of-modern-writing/the-toxicity-of-sports-media-ee6003e241ff?source=topic_page---------760------------------1
78,https://medium.com/the-sports-niche/can-the-los-angeles-lakers-be-the-nbas-next-dynasty-f7f3bd0167a2?source=topic_page---------761------------------1
79,https://medium.com/swlh/the-ufc-signs-multi-million-dollar-deal-with-aurora-cannabis-to-research-cbd-use-405e9c9e00a4?source=topic_page---------762------------------1
80,https://medium.com/@ohzoned/the-man-from-majorca-fdb7c565a164?source=topic_page---------763------------------1
81,https://medium.com/@broadagesports/the-curious-case-of-2019-nba-free-agency-1060dd528442?source=topic_page---------764------------------1
82,https://medium.com/unpluggd-mag/the-relationship-between-steal-rates-and-nba-success-fbc8d668e9fa?source=topic_page---------765------------------1
83,https://medium.com/@mrxhill/an-approach-to-measuring-team-over-under-achivement-in-the-nba-8c8cbb6e5c88?source=topic_page---------766------------------1
84,https://medium.com/@Real_XC/citius-altius-fortius-conatus-2ea19fc58f3b?source=topic_page---------767------------------1
